"Gene","logFC","adj.P.Val"
"ampC",5.74551713692008,1.93382932882986e-42
"magD",1.32074077674376,2.99667015044224e-27
"PA4111",3.14168729278076,1.27088623467576e-22
"PA1069",1.41766692794752,6.80068113927319e-18
"hcp1",2.2995853014562,2.628274007812e-17
"PA3021",1.18748397706991,1.17343971312639e-16
"tsi2",1.15609067976594,6.03196854859645e-16
"magF",1.11996141027682,9.69822172067956e-16
"PA2536",1.00529976330056,7.81117763671025e-15
"tsi1",1.39474373479572,1.99628554252896e-13
"PA0126",2.01027771335844,6.76242209472146e-13
"PA2540",1.22667375124358,8.48284647384789e-11
"pchB",1.07143602189755,1.29946541040346e-10
"tse1",1.2946002968546,3.13469883461194e-10
"PA2225",1.32320645609013,1.18466261006644e-09
"PA0277",1.7063975214461,2.06251924671669e-09
"PA2539",1.15987588134237,4.12584226321555e-09
"qsrO",1.3011484512833,1.12655324827867e-08
"magE",1.05960343163756,4.4064545576853e-08
"clpV1",1.83248571944492,3.64175272981796e-07
"vqsM",1.21055819010134,4.88531604941278e-07
"PA2224",1.37950349543807,1.54816503757801e-06
"PA0095",1.07181313250795,1.84570386693361e-06
"vgrG1",1.69280055982941,2.11659178466692e-06
"PA2222",1.03976141623136,2.58597725611092e-06
"tssG1",1.64560460544069,3.91151737055342e-06
"PA5113",1.13757108021273,4.14678290857619e-06
"pppA",1.38693261638047,6.59492729289941e-06
"ftsZ",1.03191802342414,1.18178546071157e-05
"PA2223",1.20290484951452,1.25307063040308e-05
"tagS1",1.1299106588653,3.43741511604014e-05
"ppkA",1.26519900690512,3.52313331603432e-05
"tssC1",1.81929264490498,3.59082066909318e-05
"PA0467",1.19279018050217,3.93151401023309e-05
"icmF1",1.4542611279653,5.84122908545666e-05
"tssB1",1.81256008762757,8.65950428610095e-05
"tagQ1",1.75999508576862,9.25113425181702e-05
"PA0466",1.6823374424252,0.000107520214213806
"tse5",1.33549210964039,0.000113026990747753
"tssE1",1.33851808187543,0.000141187608529077
"tssF1",1.39539547641562,0.00015645991324654
"tssL1",1.24064051384915,0.000206125052442852
"tagJ1",1.42190437454639,0.000216189421081142
"hisH2",1.08433178580628,0.000247199613410514
"PA4223",1.41541303296672,0.000283931777929857
"wzy",1.01603595603712,0.000469724443296136
"wbpH",1.1514028542124,0.00048338834160236
"tagT1",1.14754810683189,0.000559241920666935
"PA4222",1.33176557813819,0.00059426108059362
"PA0050",1.59625226612247,0.000760565785694258
"pchG",1.47083507795699,0.00112131188457138
"PA0563",1.40786025044473,0.00116909622147565
"tagF1",1.17211203994612,0.00152383004358522
"prrF2",1.26802248875878,0.00172159719549685
"PA3940",1.00183159578082,0.00173378396672607
"hisF2",1.09005246186601,0.00205453185197153
"pchF",1.34317902465399,0.00224857558428351
"tagR1",1.05397127444176,0.0034748407142759
"tli1",1.31313736975233,0.00409108472854398
"PA1333",1.22770397340059,0.004867740451548
"tssK1",1.11136859570691,0.00500484296506732
"creD",1.4003210959112,0.00516997861519356
"ampO",1.04196811491919,0.0052758251699484
"wbpI",1.10213795589156,0.00584663043845591
"PA4518",1.03857806536293,0.00635195516779386
"PA4406.1",1.06980489651327,0.00652636379136097
"wbpG",1.10368718031701,0.00666292742925368
"PA0668.4",1.77091820029079,0.00671173650586146
"PA4690.2",1.81166080947806,0.00799912359073306
"PA5369.2",1.81108901674498,0.00807481601433729
"PA4280.2",1.82570457702515,0.00821406953876249
"tssJ1",1.16272444240912,0.00869519348304124
"PA2228",1.05968233569298,0.00956297705410429
"PA3187",1.20802707127513,0.0140461463039072
"sucC",1.12953943643715,0.015934571424243
"PA3188",1.11163572632362,0.0172943663268023
"tufA",1.02557450182049,0.0243678925671877
"rplV",1.41445485848083,0.0246132337324678
"rpsQ",1.51429382217623,0.0253110084819819
"rpsC",1.34759767303255,0.0283589564891824
"rplX",1.57778164404059,0.0301685862177954
"rpsS",1.2702904042972,0.0301685862177954
"PA3284",1.00533495949614,0.0335576828156159
"rpmC",1.38857720810679,0.0350062816269495
"rplB",1.29887354315109,0.0354954318592069
"rplE",1.37650771232592,0.0370456958078658
"rplW",1.19834431536177,0.0414532575879344
"rplN",1.48245630239974,0.0419334594078937
"P27",1.38478138194145,0.045129109113366
"sucD",1.19990695453257,0.0460562551236346
"rplP",1.37253323765928,0.0464185507728652
"rplJ",1.40422942956841,0.0470825291621552
